"name","mz","rt","MS2.spectrum.name","Candidate.number","Level","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database"
"M122T90",122.0245826,89.95039368,"mz122.024646508717rt130.850214",1,1,"NICOTINATE","NA","NA","NA","RPLC_268","(M-H)-","0.2087282","0.9999651","85.25021","0.6385105","NCE25","0.7046761","0.761957","msDatabase_rplc0.0.1"
"M125T90",124.9911684,90.47410583,"mz124.991088867188rt99.249792",1,1,"Isethionic acid sodium salt","NA","NA","NA","RPLC_76","(M-H)-","0.777832","0.9995161","66.24979","0.7626713","NCE50","0.7502464","0.8156701","msDatabase_rplc0.0.1"
"M151T220",151.0399943,220.3369141,"mz151.039895281533rt208.215372",1,1,"MANDELIC ACID","NA","NA","NA","RPLC_293","(M-H)-","0.3617962","0.9998953","6.181573","0.997644","NCE25","0.5312421","0.7650059","msDatabase_rplc0.0.1"
"M165T200",165.0416967,199.9435501,"mz165.041481117855rt178.350966",1,1,"1-Methylxanthine","NA","HMDB10738","C16358","RPLC_585","(M-H)-","2.109705","0.9964456","60.73577","0.7963585","NCE50","0.7073553","0.8018787","msDatabase_rplc0.0.1"
"M255T786",255.2325793,785.506897,"mz255.232620239258rt834.74388",1,1,"PALMITATE","NA","NA","NA","RPLC_303","(M-H)-","0.7744019","0.9995204","73.34388","0.7174464","NCE25","0.6946679","0.7765757","msDatabase_rplc0.0.1"
"M283T723",283.2638644,723.0288086,"mz283.263804365434rt778.12512",1,1,"STEARATE","NA","NA","NA","RPLC_359","(M-H)-","1.064086","0.9990946","66.52512","0.7609523","NCE25","0.7030386","0.791531","msDatabase_rplc0.0.1"
"M73T122",73.02786463,122.0923615,"mz73.027931213379rt140.740812",1,2,"Propionic acid","79-09-4","HMDB00237","C00163","M0387","(M-H)-","3.921967","0.9877699","NA","NA","30","0.7297489","0.8265068","metlinDatabase0.0.1"
"M74T126",74.02310697,125.812973,"mz74.024681091309rt147.111828",1,2,"Glycine","56-40-6","HMDB00123","NA","S0038","(M-H)-","0.1222717","0.999988","NA","NA","25","0.7198687","0.8249134","nistDatabase0.0.1"
"M74T576",74.02315108,575.909729,"mz74.024719238281rt622.82232",1,2,"Glycine","56-40-6","HMDB00123","C00037","M0168","(M-H)-","0.0480957","0.9999981","NA","NA","20","0.7174275","0.8233915","metlinDatabase0.0.1"
"M75T105",75.00625277,104.6746521,"mz75.006416320801rt103.24317",1,2,"Glycolic acid","NA","NA","NA","MONA_15725","(M-H)-","5.819168","0.9732735","NA","NA","HCD (NCE 20-30-40%)","0.7408795","0.8280273","monaDatabase0.0.1"
"M75T411",75.00622589,410.7191467,"mz75.006439208984rt356.327664",1,2,"Glycolate","79-14-1","HMDB00115","NA","L0001","(M-H)-","5.776978","0.9736545","NA","NA","20","0.7667971","0.8443686","nistDatabase0.0.1"
"M79T74",78.95569907,74.06248474,"mz78.955833435059rt106.582422",1,2,"Ortophosphate","NA","NA","NA","MONA_18505","(M-H2O-H)-","7.904427","0.9512447","NA","NA","20","0.7657906","0.8353359","monaDatabase0.0.1"
"M79T341",78.95573871,340.8431702,"mz78.955856323242rt314.228898",1,2,"Ortophosphate","NA","NA","NA","MONA_18505","(M-H2O-H)-","7.847207","0.9519308","NA","NA","20","0.7264958","0.8110339","monaDatabase0.0.1"
"M85T1111",85.02399213,1110.929976,"mz85.024406433105rt1122.2823",1,2,"1,4-Butynediol","NA","NA","NA","MONA_15372","(M-H)-","12.6825","0.8792583","NA","NA","HCD (NCE 20-30-40%)","0.6636607","0.7445098","monaDatabase0.0.1"
"M85T85",85.02399295,84.82461929,"mz85.024411984276rt131.33343",1,2,"1,4-Butynediol","NA","NA","NA","MONA_15372","(M-H)-","12.66862","0.8795058","NA","NA","HCD (NCE 20-30-40%)","0.7254902","0.7832461","monaDatabase0.0.1"
"M85T296",85.02400768,296.1435852,"mz85.024421691895rt260.001492",1,2,"1,4-Butynediol","NA","NA","NA","MONA_15372","(M-H)-","12.64435","0.8799381","NA","NA","HCD (NCE 20-30-40%)","0.7035272","0.7696813","monaDatabase0.0.1"
"M87T722",87.00212989,721.5797729,"mz87.002662658691rt687.03468",1,2,"Pyruvate","127-17-3","HMDB00243","NA","L0002","(M-H)-","15.21835","0.8308728","NA","NA","10","0.4839218","0.6140284","nistDatabase0.0.1"
"M87T1100",87.00231845,1100.349976,"mz87.00269317627rt1144.52796",1,2,"Pyruvic acid","NA","NA","NA","MONA_15964","(M-H)-","15.12703","0.8327168","NA","NA","HCD (NCE 20-30-40%)","0.718336","0.7612288","monaDatabase0.0.1"
"M87T516",87.00202963,516.081543,"mz87.002662658691rt456.625344",1,2,"Pyruvate","127-17-3","HMDB00243","NA","L0002","(M-H)-","15.21835","0.8308728","NA","NA","10","0.6818194","0.7377144","nistDatabase0.0.1"
"M87T407",87.00213977,406.8901215,"mz87.002647399902rt356.071422",1,2,"Pyruvate","127-17-3","HMDB00243","NA","L0002","(M-H)-","15.2565","0.8301004","NA","NA","20","0.5356827","0.6460893","nistDatabase0.0.1"
"M87T75",87.00228697,75.2566452,"mz87.00260925293rt97.050168",1,2,"Pyruvic acid","NA","NA","NA","MONA_15964","(M-H)-","15.33684","0.8284698","NA","NA","HCD (NCE 20-30-40%)","0.7057672","0.7517807","monaDatabase0.0.1"
"M89T76",89.01773402,75.78262329,"mz89.018180847168rt117.988218",1,2,"3-Hydroxypropionic acid (beta-lactic acid)","503-66-2","HMDB00700","NA","L0205","(M-H)-","15.52288","0.8246734","NA","NA","10","0.7440835","0.7743047","nistDatabase0.0.1"
"M89T204",89.01767467,204.0126495,"mz89.018241882324rt151.108164",1,2,"3-Hydroxypropionic acid (beta-lactic acid)","503-66-2","HMDB00700","NA","L0205","(M-H)-","15.37029","0.8277892","NA","NA","10","0.7319303","0.7678774","nistDatabase0.0.1"
"M93T267",93.02565145,267.112381,"mz93.026254527964rt295.285638",1,2,"Phenol","108-95-2","HMDB00228","NA","S0142","(M-H)-","20.78868","0.7076997","NA","NA","25","0.7315931","0.7226331","nistDatabase0.0.1"
"M93T431",93.02571439,431.4762268,"mz93.026227949515rt488.550726",1,2,"Phenol","108-95-2","HMDB00228","NA","S0142","(M-H)-","20.85513","0.7061349","NA","NA","25","0.7529386","0.7353872","nistDatabase0.0.1"
"M97T70",96.96928657,69.50405502,"mz96.969459533691rt122.70813",1,2,"Ortophosphate","NA","NA","NA","MONA_18505","(M-H)-","0.3391808","0.999908","NA","NA","10","0.5669016","0.729279","monaDatabase0.0.1"
"M101T98",101.0241794,97.50981522,"mz101.024292816817rt147.965958",1,2,"Succinic acid semialdehyde","692-29-5","HMDB01259","C00232","M0307","(M-H)-","0.267958","0.9999426","NA","NA","20","0.6421191","0.7763029","metlinDatabase0.0.1"
"M102T110",102.0491667,110.1113739,"mz102.049156188965rt148.896186",1,2,"4-Aminobutyric acid","1956-12-2","HMDB00112","NA","S0298","(M-H)-","17.18453","0.7895861","NA","NA","15","0.6653646","0.7119477","nistDatabase0.0.1"
"M104T112",104.0363499,111.835968,"mz104.035224914551rt129.474846",1,2,"Serine","NA","NA","NA","MONA_15996","(M-H)-","0.1704236","0.9999768","NA","NA","HCD (NCE 20-30-40%)","0.7271186","0.8294404","monaDatabase0.0.1"
"M105T849",105.0169754,849.0930786,"mz105.017077999972rt819.225",1,2,"Glyceric acid","NA","NA","NA","MONA_15722","(M-H)-","5.57668","0.9754275","NA","NA","HCD (NCE 20-30-40%)","0.6929053","0.7988511","monaDatabase0.0.1"
"M105T700",105.0170683,699.7219849,"mz105.017122724468rt747.47502",1,2,"Glyceric acid","473-81-4","HMDB00139","C00258","NO07264","(M-H)-","5.443189","0.9765761","NA","NA","15","0.667595","0.7834629","orbitrapDatabase0.0.1"
"M107T349",107.0466598,348.5289958,"mz107.046577235008rt396.138312",1,2,"p-Cresol","106-44-5","HMDB01858","C01468","M0772","(M-H)-","9.056912","0.9364847","NA","NA","20","0.7697684","0.832287","metlinDatabase0.0.1"
"M107T560",107.0466488,559.534668,"mz107.04658442581rt501.41046",1,2,"p-Cresol","106-44-5","HMDB01858","C01468","M0772","(M-H)-","9.038935","0.9367284","NA","NA","20","0.735377","0.8108838","metlinDatabase0.0.1"
"M111T76",111.019646,75.8465271,"mz111.019882202148rt118.38555",1,2,"Uracil","66-22-8","HMDB00300","C00106","shen_756_HMDB00300","(M-H)-","0.2379496","0.9999547","NA","NA","Unknown_1","0.6989001","0.8117956","hmdbDatabase0.0.1"
"M111T1016",111.0196916,1015.767151,"mz111.019950866699rt1069.31388",1,2,"Uracil","66-22-8","HMDB00300","C00106","shen_753_HMDB00300","(M-H)-","0.06628825","0.9999965","NA","NA","Unknown_2","0.4980549","0.686283","hmdbDatabase0.0.1"
"M111T585",111.0198213,584.817627,"mz111.019927978516rt643.15476",1,2,"Uracil","66-22-8","HMDB00300","C00106","shen_756_HMDB00300","(M-H)-","0.1235087","0.9999878","NA","NA","Unknown_1","0.6471281","0.7794505","hmdbDatabase0.0.1"
"M112T282",112.0517364,282.4121552,"mz112.051509464171rt222.766404",1,2,"Creatinine","60-27-5","HMDB00562","C00791","shen_997_HMDB00562","(M-H)-","0.2559921","0.9999476","NA","NA","Unknown_1","0.7598511","0.8498873","hmdbDatabase0.0.1"
"M115T70",115.0034974,69.64590454,"mz115.003456115723rt121.669806",1,2,"Maleic acid","110-16-7","HMDB00176","C01384","M0762","(M-H)-","0.6097107","0.9997026","NA","NA","20","0.7147074","0.8215806","metlinDatabase0.0.1"
"M115T185",115.0397398,184.6169586,"mz115.039889891903rt229.823226",1,2,"3-Oxopentanoic acid","10191-25-0","HMDB03771","NA","NO07347","(M-H)-","0.2752702","0.9999394","NA","NA","10","0.5801637","0.7375796","orbitrapDatabase0.0.1"
"M116T93",116.0352061,92.82743073,"mz116.035208562707rt115.677072",1,2,"N-Acetylglycine","543-24-8","NA","NA","NO07357","(M-H)-","0.2285932","0.9999582","NA","NA","15","0.678293","0.7989175","orbitrapDatabase0.0.1"
"M116T344",116.0504499,344.236145,"mz116.050384521484rt333.010032",1,2,"Indole","120-72-9","HMDB00738","NA","S0044","(M-H)-","0.4136963","0.9998631","NA","NA","25","0.6019955","0.7511958","nistDatabase0.0.1"
"M117T244",117.055463,244.0486755,"mz117.055639995984rt291.62964",1,2,"3-Hydroxyisovaleric acid","625-08-1","HMDB00754","NA","S0198","(M-H)-","0.15001","0.999982","NA","NA","20","0.716349","0.8227114","nistDatabase0.0.1"
"M117T83",117.019218,83.35520935,"mz117.019117082471rt141.589434",1,2,"Methylmalonic acid","516-05-2","HMDB00202","C02170","NO07373","(M-H)-","0.4572938","0.9998327","NA","NA","15","0.760662","0.850351","orbitrapDatabase0.0.1"
"M118T251",118.0510308,250.8011322,"mz118.050827026367rt222.034266",1,2,"L-Threonine","72-19-5","HMDB00167","C00188","NO07379","(M-H)-","0.1824341","0.9999734","NA","NA","15","0.6864187","0.8040017","orbitrapDatabase0.0.1"
"M119T417",119.0500909,417.2706909,"mz119.050010681152rt358.133418",1,2,"4-Vinylphenol","NA","NA","NA","MONA_15501","(M-H)-","0.5104871","0.9997915","NA","NA","HCD (NCE 20-30-40%)","0.7361657","0.8350254","monaDatabase0.0.1"
"M121T469",121.0298222,469.095459,"mz121.029397491095rt411.634626",1,2,"2-Hydroxybenzaldehyde","NA","NA","NA","MONA_15416","(M-H)-","0.2048523","0.9999664","NA","NA","HCD (NCE 20-30-40%)","0.7261312","0.8288194","monaDatabase0.0.1"
