"name","mz","rt","MS2.spectrum.name","Candidate.number","Level","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database"
"M96T127",96.04441638,127.1783371,"mz96.044495985613rt144.552468",1,1,"2-HYDROXYPYRIDINE","NA","NA","NA","RPLC_327","(M+H)+","0.214964","0.999963","78.55247","0.68325","NCE25","0.7410393","0.7913229","msDatabase_rplc0.0.1"
"M117T124",117.0546864,124.1787376,"mz117.054498324321rt129.24561",1,1,"Levulinic acid","NA","NA","NA","RPLC_43","(M+H)+","0.2541892","0.9999483","89.64561","0.608919","NCE25","0.5273432","0.6658884","msDatabase_rplc0.0.1"
"M123T126",123.0441674,126.1105957,"mz123.04421598562rt131.29008",1,1,"BENZOATE","NA","NA","NA","RPLC_329","(M+H)+","0.3399641","0.9999075","26.22445","0.9584365","NCE25","0.7279559","0.8535639","msDatabase_rplc0.0.1"
"M139T130",139.0501435,130.1420593,"mz139.050090962467rt110.81325",1,1,"Urocanic acid","NA","NA","NA","RPLC_103","(M+H)+","0.3425938","0.9999061","77.81325","0.6881425","NCE25","0.5313308","0.6876776","msDatabase_rplc0.0.1"
"M153T217",153.0546089,217.151886,"mz153.054509742771rt205.871166",1,1,"RESORCINOL MONOACETATE","NA","NA","NA","RPLC_352","(M+H)+","0.3506431","0.9999016","36.53237","0.9209186","NCE25","0.5425371","0.7514736","msDatabase_rplc0.0.1"
"M170T322",170.0563217,321.7550964,"mz170.060195909354rt331.822314",1,1,"3-Indoleacrylic acid","NA","NA","NA","RPLC_24","(M+H-H2O)+","0.4897734","0.9998081","10.22231","0.9935704","NCE50","0.6281998","0.8124445","msDatabase_rplc0.0.1"
"M262T117",262.0379143,116.5549545,"mz262.037912077414rt118.038576",1,1,"N-Acetyl-L-Tyrosine","NA","NA","NA","RPLC_149","(M+K)+","24.36731","0.6218773","9.685925","0.9942256","NCE50","0.7140002","0.7610258","msDatabase_rplc0.0.1"
"M274T117",274.0915572,116.6358948,"mz274.092676329347rt110.122152",1,1,"N-ACETYLNEURAMINATE","NA","NA","NA","RPLC_259","(M+H-2H2O)+","1.490823","0.9982235","75.32215","0.7045391","NCE25","0.6071164","0.7292489","msDatabase_rplc0.0.1"
"M285T437",285.084374,437.2335205,"mz285.084568345776rt428.351736",1,1,"Glycitein (7,4'-Dihydroxy-6-methoxyisoflavone)","NA","NA","NA","RPLC_94","(M+H)+","21.92086","0.6808458","31.77373","0.939583","NCE25","0.6763871","0.7433007","msDatabase_rplc0.0.1"
"M348T134",348.0677717,134.3700256,"mz348.071266227879rt138.037398",1,1,"AMP (Adenosine 3'-Monophosphate Hydrate)","NA","NA","NA","RPLC_40","(M+H)+","2.16557","0.9962553","66.6374","0.7602503","NCE50","0.6462271","0.76224","msDatabase_rplc0.0.1"
"M72T385",72.08080312,384.9126892,"mz72.080955652193rt392.227716",1,2,"Pyrrolidine","123-75-1","HMDB31641","NA","n00006","(M+H)+","0.3891305","0.9998789","NA","NA","40","0.4067175","0.629153","nistDatabase0.0.1"
"M76T671",76.04741484,671.4732666,"mz76.047485351563rt633.6882",1,2,"Glycine","56-40-6","HMDB00123","C00037","shen_283_HMDB00123","(M+H)+","20.39236","0.7170006","NA","NA","Unknown_1","0.6709911","0.6882447","hmdbDatabase0.0.1"
