"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2-Aminophenol","2-Aminophenol","METPA0236",NA,"C01987",NA,"1"
"1,3-Benzenediol","1,3-Benzenediol","HMDB0032037","5054","C01751","C1=CC(=CC(=C1)O)O","1"
"Maltol","Maltol","HMDB0030776","8369","C11918","CC1=C(C(=O)C=CO1)O","1"
"Quinoline","Quinoline","HMDB0033731","7047","C06413","C1=CC=C2C(=C1)C=CC=N2","1"
"N-Acetyl-L-aspartic acid","N-Acetyl-L-aspartic acid","HMDB0000812","65065","C01042","CC(=O)N[C@@H](CC(=O)O)C(=O)O","1"
"DL-4-Hydroxyphenyllactic acid","NA","NA","NA","NA","NA","0"
"Metronidazole","Metronidazole","HMDB0015052","4173","C07203","CC1=NC=C(N1CCO)[N+](=O)[O-]","1"
"N-n-Butylpropionamide","NA","NA","NA","NA","NA","0"
"Monoethyl phthalate","Monoethyl phthalate","HMDB0002120","75318","","CCOC(=O)C1=CC=CC=C1C(=O)O","1"
"Theobromine","Theobromine","HMDB0002825","5429","C07480","CN1C=NC2=C1C(=O)NC(=O)N2C","1"
"Dodeca-2(E),4(E)-dienoic acid","NA","NA","NA","NA","NA","0"
"Prolyl-Valine","Prolyl-Valine","HMDB0029030",NA,"","CC(C)C(NC(=O)C1CCCN1)C(O)=O","1"
"4-Methylcyclohexaneacetic acid","NA","NA","NA","NA","NA","0"
"3-(3,4,5-Trimethoxyphenyl)propanoic acid","3-(3,4,5-Trimethoxyphenyl)propanoic acid","HMDB0030254","64860","","COC1=CC(=CC(=C1OC)OC)CCC(=O)O","1"
"Oxybenzone","Oxybenzone","HMDB0015497","4632","C14285","COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O","1"
"Indarubicin","NA","NA","NA","NA","NA","0"
"(-)-Naringenin","Naringenin","HMDB0002670","439246","C00509","C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","1"
"Pentadecanoyl Ethanolamide","NA","NA","NA","NA","NA","0"
"(Methylenecyclopropyl)acetyl-L-carnitine","NA","NA","NA","NA","NA","0"
