"name","mz","rt","MS2.spectrum.name","Candidate.number","Level","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS"
"M92T357_POS",92.04958735,357.2952576,"mz92.0496108249rt347.360562",1,2,"2-Aminophenol","95-55-6","METPA0236","C01987","NO07276","(M+H-H2O)+",0.2770622,0.9999386,NA,NA,"20",0.619315
"M111T304_POS",111.0441871,304.3230286,"mz111.044197938845rt319.125024",1,2,"1,3-Benzenediol","108-46-3","HMDB32037","C01751","n00124","(M+H)+",0.2948471,0.9999305,NA,NA,"20",0.6851774
"M127T219_POS",127.0388181,219.2165527,"mz127.03914642334rt212.481864",1,2,"Maltol","118-71-8","HMDB30776","C11918","NO07430","(M+H)+",0.3660583,0.9998928,NA,NA,"20",0.7213864
"M130T519_POS",130.0651789,519.4612122,"mz130.065277099609rt568.069542",1,2,"Quinoline","91-22-5","HMDB33731","C06413","shen_5073_HMDB33731","(M+H)+",0.3196765,0.9999182,NA,NA,"Unknown_6",0.7412009
"M158T110_POS",158.047964,110.3103561,"mz158.044952392578rt100.510818",1,2,"N-Acetyl-L-aspartic acid","997-55-7","HMDB00812","C01042","S0246","(M+H-H2O)+",0.4559814,0.9998337,NA,NA,"25",0.4999145
"M165T330_POS",165.0548968,330.2888489,"mz165.054507247102rt351.725586",1,2,"DL-4-Hydroxyphenyllactic acid","23508-35-2",NA,NA,"MONA_18548","(M+H-H2O)+",0.2538822,0.9999484,NA,NA,"10",0.6406433
"M172T400_POS",172.0716935,399.6972961,"mz172.071800094462rt340.540542",1,2,"Metronidazole","443-48-1","HMDB15052","C07203","shen_4111_HMDB15052","(M+H)+",0.2723137,0.9999407,NA,NA,"Unknown_11",0.7560142
"M176T244_POS",176.1281436,243.6124725,"mz176.128219604492rt236.13588",1,2,"N-n-Butylpropionamide","2955-67-1",NA,NA,"NO07469","(M+HCOO+2H)+",0.04901123,0.9999981,NA,NA,"10",0.6786699
"M177T696_POS",177.0545573,696.3920288,"mz177.05486923743rt702.444",1,2,"Monoethyl phthalate","2306-33-4","HMDB0002120",NA,"NO01024","(M+H-H2O)+",0.6730936,0.9996376,NA,NA,"15",0.6863343
"M181T348_POS",181.0684524,348.1141968,"mz181.072072124129rt327.143538",1,2,"Theobromine","83-67-0","HMDB0002825","C07480","MONA_18372","(M+H)+",0.1165703,0.9999891,NA,NA,"20",0.7391129
"M197T698_2_POS",197.1536174,697.6442261,"mz197.153778076172rt638.20596",1,2,"Dodeca-2(E),4(E)-dienoic acid","24738-48-5",NA,NA,"NO01090","(M+H)+",0.4451904,0.9998415,NA,NA,"15",0.5771791
"M197T452_POS",197.1284938,452.3558044,"mz197.128616333008rt428.386464",1,2,"Prolyl-Valine","57-67-0","HMDB29030",NA,"n00859","(M+H-H2O)+",0.4408325,0.9998445,NA,NA,"40",0.5410534
"M220T547_POS",220.1411878,546.8867188,"mz220.136653522668rt566.410536",1,2,"4-Methylcyclohexaneacetic acid","6603-71-0",NA,NA,"NO00148","(M+CH3CN+Na)+",14.63381,0.8425531,NA,NA,"15",0.457291
"M223T610_POS",223.0937591,609.5397949,"mz223.096618652344rt627.69372",1,2,"3-(3,4,5-Trimethoxyphenyl)propanoic acid","25173-72-2","HMDB30254",NA,"shen_4754_HMDB30254","(M+H-H2O)+",0.3625759,0.9998948,NA,NA,"Unknown_2",0.4366607
"M229T756_POS",229.0858585,755.8180847,"mz229.085997909297rt777.63054",1,2,"Oxybenzone","131-57-7","HMDB15497","C14285","shen_4469_HMDB15497","(M+H)+",0.1341482,0.9999856,NA,NA,"Unknown_11",0.7301436
"M263T627_POS",263.0870844,627.1925049,"mz263.08898870358rt628.2327",1,2,"Indarubicin",NA,NA,NA,"MONA_14941","(M+H)+",18.65286,0.7570369,NA,NA,"HCD (NCE 20-30-40%)",0.5674512
